country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
FRA,ssp126,gfdl-esm4,0.002249754055007537,-0.002059332839693258,-0.008177703782550047,-0.005732043217083645,-0.009407495806317395,0.0004985195385552464,0.0006666640554603019,-0.0016986569014161563,-0.0016743299110228115,-0.0009574719029049814,-0.0038294603956953374,-0.0016936279323503522,-0.002984000438319372,-0.0024857467614798835,-0.00032514496416798165,-0.0001380308140455921,-9.050882707983925e-05
GEO,ssp126,gfdl-esm4,-0.0056919927634966035,-0.013015549243895619,-0.010588697395000346,-0.0014999117563355543,-0.010362342226948238,-0.008447988651898624,-0.005146127333458445,-0.011022626337850899,-0.004775853372102091,-0.013827187819232591,-0.007331680433582086,-0.016391884281786635,-0.008884622889383902,-0.010973241673440493,-0.009085050130298008,-0.005009828752942898,-0.006059698585690564
GHA,ssp126,gfdl-esm4,-0.14606807226929977,-0.035894681342355905,-0.03195388413541238,-0.01627334239985522,-0.010156047511487937,-0.015306063306639285,-0.01559685493963203,-0.009930999573271879,-0.01553906928382225,-0.0127515543355469,-0.012124621794791615,-0.007864557313618029,-0.004439721521186028,-0.0027158643604007354,-0.007731568322438031,-0.007029969040188833,-0.00325313585196751
GIN,ssp126,gfdl-esm4,-0.05047922153318298,-0.05278395475173162,-0.013500493499310354,-0.010900295581102271,-0.003199372475677787,-0.004455934062115772,-0.002723483681986678,-0.0029351076374873704,-0.002980686417595656,-0.002189229223743011,-0.0022568901258608024,-0.002909605188642398,-0.0017796740484503132,-0.0011262267533439048,-0.001808376707035675,-0.001653467014143581,-0.0009914319926837905
GMB,ssp126,gfdl-esm4,-0.05940803133525019,-0.044796840208449824,-0.03142284919157855,0.0007294127295570179,-0.004821257409058662,-0.004500390912327822,-0.004955112388356282,-0.005308428102579261,-0.0027450810807307297,-0.002927081709720689,-0.0034174410243732398,-0.0028627343894577417,-0.001637874113805003,-0.001083742682192759,-0.0017257639806664532,-0.0008701744102046628,-0.0009011749642331162
GNB,ssp126,gfdl-esm4,-0.19993955626316268,-0.20386274638388263,-0.10614362951225734,-0.007920662176579373,-0.015280159406211562,-0.03069055358210455,-0.0331816323748391,-0.016678474085105165,-0.009576590013923551,-0.010331972216460638,-0.011934507729889958,-0.00823048610334072,-0.007710549117968547,-0.003853902370740864,-0.00483343435036104,-0.0028839491271042167,-0.0035266530369830068
GRC,ssp126,gfdl-esm4,-0.010733286412820921,-0.021564359991984805,-0.011856447144392653,-0.01328335854575347,-0.0012907045255866447,-0.006436204589549329,-0.001043068455080871,-0.003516457635742313,-0.0068158958959657285,-0.005128324555747075,-0.007243620360303559,-0.011504372275290622,-0.0001417589580925821,-0.009809697069996683,-0.005235569605728984,-0.004024701414368427,-0.00118141299198945
HND,ssp126,gfdl-esm4,-0.2172127742110632,-0.044672274567569226,-0.06668364061809236,-0.026864424755580832,-0.01737263836560646,-0.017534995259057842,-0.020777896583032276,-0.024491112903607365,-0.014423164965668225,-0.004421689006830406,-0.0023817824147727117,-0.004603166028460232,-0.0041590193222185625,-0.00439404778805836,-0.009397901111925447,-0.004167572946772115,-0.012994809660860966
HRV,ssp126,gfdl-esm4,-0.020023517818622837,-0.5031987027797722,-0.4426788251841791,-0.3567401325598966,-0.19499955181486103,-0.0036127478256483842,0.04256758949199943,-0.09948528665957967,-0.005586513946430197,0.0012299789037262866,-0.39877483741309816,-0.1327942753148608,0.019013398736323177,-0.33972868798509553,-0.11025868768155132,-0.037250747341219415,0.06852448408535577
HUN,ssp126,gfdl-esm4,-0.05051428425637548,-0.04916840352696018,-0.04077297643234518,-0.024612633906336043,-0.03163349490560851,-0.0010145880131286857,0.0014963514432511384,-0.012439675806137364,-0.005210321572998703,0.0008521133279902211,-0.03668024209720903,-0.010149459254116866,0.00042768066731003595,-0.020653369390938658,-0.007434257087462279,-0.0009806067243045564,0.0069485432680251105
