country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
CAN,ssp126,gfdl-esm4,-0.0014844724167700429,-0.007315605776155786,-0.0059084905005647205,0.0018945758267356553,0.0008168252792383576,-0.001780252422312366,-0.001909941118579393,-0.006606267474780062,-0.003046772143068118,-0.0008753144912425211,-0.0028411966692371924,-0.0006552221088989863,-0.0029728579385350324,-0.001957824055325835,-0.0018829915219229925,-0.0016618586746933092,-0.002086520742139836
CHE,ssp126,gfdl-esm4,0.00033397136438606626,0.00019508262946326015,-0.00012439973596307515,-0.00018642670577139625,4.425172462171653e-05,0.0002052844647706219,0.00013628591528561278,0.0001673429905571836,0.00019921268082816039,6.05859501676029e-05,-3.682096380714647e-06,6.799766041389609e-06,-0.00014313938309957306,-0.00011606047432865017,7.1126797199106285e-06,9.366151829709255e-05,0.0001304268672786634
CHL,ssp126,gfdl-esm4,-0.0007608113465785613,-7.875482782302736e-05,-0.000396402083027925,8.99845443371255e-05,-0.0007267409255579194,-0.00046723328692025324,-0.0005182294293373257,-0.00014430803139500658,-8.14888224612731e-05,-0.0007622268661432242,-4.9302218236749124e-05,-0.00024022826638588692,-0.00037952745772467517,-0.0005149431033224154,-0.00017510761123242148,-0.0004291080329002788,-0.0003331001984514805
CHN,ssp126,gfdl-esm4,-0.0369229400514182,-0.010872188282958353,-0.02443641035324116,-0.030089360964435784,-0.017138301180793552,-0.03294865875526548,-0.02644113956027335,-0.03259822213374653,-0.011834426274766066,-0.015618557050613595,-0.023845852317548585,-0.009050136836246496,-0.01441791530918112,-0.01092046369124682,-0.015201187246942707,-0.008472466678060293,-0.01578400513437159
CIV,ssp126,gfdl-esm4,-0.0923044028043124,-0.059011794343233004,-0.03011660264149489,-0.022420312277353763,-0.008008320154259823,-0.00992165240400491,-0.01100287854692914,-0.008196084957344786,-0.010622664125150276,-0.008674898900858022,-0.00691129948860212,-0.008199103234645592,-0.004130207450151762,-0.003000281770375549,-0.0057800965877901145,-0.005305949044539118,-0.0025415654916256898
CMR,ssp126,gfdl-esm4,-0.15295759961884117,-0.09642782276346851,-0.06587292869096639,-0.04094113980168391,-0.03754413955731723,-0.0281599626558055,-0.025184026235818512,-0.026084036518035543,-0.0247926057961948,-0.015851632807078145,-0.015192588532521168,-0.009061124275205985,-0.007260841552696642,-0.004813109149372043,-0.005082398769979319,-0.008421720779206958,-0.004371869547479348
COL,ssp126,gfdl-esm4,-0.007773443483346155,-0.0022206806743745506,-0.004980234975389933,-0.0008043164402126035,0.00018914089509427056,-0.00255174242721561,-0.0038560052342719513,-0.005448078589872588,-0.0033112713865164635,-0.0021813575819516332,-0.0017225047604351425,-0.0013477602890533864,-0.0023096720809337606,-0.001134698630851005,-0.0017897155868906878,-0.0009204305724014075,-0.0019762488599395513
CRI,ssp126,gfdl-esm4,-0.0026695799043636274,-0.00041858532942841035,-0.0007672982215963142,-7.039816231238528e-05,-5.844259310152692e-05,-0.0002848631500885247,-0.0003374705658984403,-0.0004280200768732455,-0.0003581684807198636,-0.00018499575044294726,-0.00013816374007722125,-0.00010206655532631177,-0.0002806872745475366,-0.00012191232032697748,-0.00017259024091752776,-8.019310456497798e-05,-0.00022826537850001633
CZE,ssp126,gfdl-esm4,0.0013403026925520056,0.0009360021355049224,-0.00047324749737185945,-0.0006105644492832734,-0.0016042172037454717,0.0003528797725157222,0.0008180620415385343,0.0006266869248747707,-0.0002918165173446634,7.89497947280738e-05,-0.0018590684423097884,0.000881563477224145,0.0010240757574290276,-0.0009060823795516818,0.0003653123107078432,-6.0187818520924506e-05,0.0004627170385838322
DEU,ssp126,gfdl-esm4,0.0003722264246994347,0.0006212307414205824,-0.0006857265312633082,-0.0002467972826771265,-0.0010515670524435792,0.000606268570382233,-3.5314755931635614e-05,-0.0001446920096167711,-3.699770815805193e-06,8.069659841740691e-07,-0.0009921560808456862,0.00019615053065073914,0.00016878772689140083,-0.00023457845993774025,-0.00016914709396717266,6.291228333329103e-05,0.0002897579670491348
DOM,ssp126,gfdl-esm4,-0.002402941069934428,-0.0008765802734473161,-0.0016158848741041718,-0.0005487672975287393,-0.0008289329258140373,-0.0006480814156333421,-0.0007536008578445867,-0.0005118108941350062,-0.0005651779212062387,-0.0007333369325203678,-0.0003324563241653584,-0.0009354064065459388,-0.00037662760109977546,-0.0008294803752785786,-0.000782380131514889,-0.000593151446698268,-0.0007336447986542242
ECU,ssp126,gfdl-esm4,-0.04527443342303528,-0.03713146004236978,-0.03435212660975724,-0.011122620056439058,-0.020160527801648058,-0.03108452609956589,-0.009506901654052331,-0.01644924404619135,-0.01679887730736034,-0.01028164670257336,-0.007697816017802986,-0.005934786164301808,-0.009732545585465517,-0.0058402715366727715,-0.005200926197784552,-0.0022753051613502986,-0.004652576234673655
