country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070
NPL,ssp126,gfdl-esm4,-0.09712516424813722,-0.07435035504787248,-0.029587173380727846,-0.02306280054491798,-0.03261430483336857,-0.04441572388047899,-0.0037623913216618438,-0.016425191421360927,-0.020511910389284557,-0.009663582070616834,0.0011688401338621902
NZL,ssp126,gfdl-esm4,-0.0015172995071119713,-0.0016469267090359803,-0.0002458459225939781,-0.0008288857644059378,0.0007599079711449497,-0.00017120212454432932,-0.0005987027531795328,0.0007728468599038779,-0.0011105760928578636,-0.0007685293270538291,-0.001307824516904898
PAK,ssp126,gfdl-esm4,-0.10631960542632991,-0.05273652097983191,0.023518327469731575,-0.053397223510143914,-0.010039110105201532,-0.029406367349440386,-0.02699852525922515,-0.026365402021395718,-0.03172634556768383,-0.023693497895656033,-0.020873441486093054
PER,ssp126,gfdl-esm4,-0.0015577222021271593,-0.00153088673217037,-0.0026574384311447087,-0.0008135194759443474,-0.0013066358414942918,-0.0009516404044379768,-0.0006730955672534058,-0.0010682054873201144,-0.0006572489791206945,-0.0007498070393870445,-0.0008724051490881354
POL,ssp126,gfdl-esm4,-0.02745336741453314,-0.01681384430193652,-0.023548528818808055,-0.026058516765625966,-0.027448185911756812,-0.009909830811195532,-0.00797214290391642,-0.011640462935425873,-0.029865723105669956,-0.0038596177477962,-0.04074703809085371
PRT,ssp126,gfdl-esm4,0.000354694489850145,-0.0006683697036578333,-0.0016604415813825475,-0.0006217044047963525,-0.0006233353232860765,-0.00047915679162217423,0.0004212703417528262,-0.0007911150237063137,-0.000582114851158706,-0.0005607786857392203,-0.00024231666911274345
PRY,ssp126,gfdl-esm4,-0.029233958329985543,0.0024386465774602706,-0.002285825341228299,-0.015067581977079537,-0.0018261810819459833,-0.0066009794644511,-0.0061881398998596005,-0.002390630990050032,-0.0018816429201474923,0.0010758780133261364,0.0007390618492733503
ROU,ssp126,gfdl-esm4,-0.06168656354347791,-0.12754160530070552,-0.11882593745592249,-0.04643082136259335,-0.041896845412853406,-0.05767147490846184,-0.002874762953514217,-0.035779492924110284,-0.05637105913074181,0.0007143639213609686,-0.08161978028463449
RUS,ssp126,gfdl-esm4,-0.10311865223710673,-0.13139367509512073,-0.06852921108983147,-0.02660901275325974,-0.028508706962267042,-0.04429305880890851,-0.0500989678786295,-0.03028953709351773,-0.047708690387812974,-0.01829941800280176,-0.019387265366207353
SAU,ssp126,gfdl-esm4,-0.008391033317471427,-0.007549912628848666,-0.0017106063970989548,-0.006881412243146612,-0.006295925972776861,-0.003360248466711787,-0.007964163801556533,-0.006901322566962315,-0.004634790556415362,-0.006988511449153756,-0.007027033226001469
SRB,ssp126,gfdl-esm4,-0.10852078092973781,-0.18171035374948383,-0.19793563059887936,-0.08175132510853998,-0.10500630843273417,-0.058473284596078,0.01529038305175961,-0.0665862505310897,-0.05225825688288284,-7.707021180331907e-05,-0.08481858786782423
SVK,ssp126,gfdl-esm4,-0.03563836940798233,-0.027053417067194864,-0.04430431768022736,-0.01940733943413591,-0.026961022240841785,-0.009674062335461956,0.00035064556539843794,-0.00983008572870701,-0.011844583671525246,0.00028954355382842715,-0.02851573673287596
SVN,ssp126,gfdl-esm4,-0.002737310246543032,-0.005003677207410116,-0.006497572325034877,-0.003990883529103377,-0.0029285541909138376,-0.001064920317736611,0.0025472684154684614,-0.0016313684259135891,0.00034738590877399,-0.00044479758162232244,-0.003180801841475343
SWE,ssp126,gfdl-esm4,-0.007494303015421588,-0.00031710481109928747,-0.0017955479977943638,-0.003789056716596513,-0.007849456842097433,0.0013880258158754492,-0.0025281321916312705,-0.005378436394126592,-0.005102137686061152,-0.004173640737887006,-0.003181672461236612
TJK,ssp126,gfdl-esm4,-0.05904239531858819,-0.09669506742818855,-0.03264208281363456,-0.04848986425182775,-0.007172168241120215,-0.016037849285241226,-0.03947112333799827,-0.009589856786968567,-0.007483616623338879,-0.0209313247940578,-0.013183497550329533
TKM,ssp126,gfdl-esm4,-0.10131290954659182,-0.11576248624505309,-0.03630460636490884,-0.08601310365487254,-0.014582736868897507,-0.019603227858451935,-0.07064166864230774,-0.02413529702937544,-0.015408260010165821,-0.055415984308048165,-0.030254946930484704
TUN,ssp126,gfdl-esm4,0.00595066841674761,-0.12179905607521054,-0.06796072261523398,-0.05101709532979207,-0.010777946374538128,0.0017887274911902746,-0.008278350935315459,-0.00025023106051447576,-0.009505462382419793,-0.006106231157642321,-0.015266498589202473
TUR,ssp126,gfdl-esm4,-0.020277274936686726,-0.00750528491488135,-0.003796222802224209,-0.0017723993801944627,-0.003158039152644731,-0.004138225772541211,-0.00126444660660394,-0.005637941136810481,-0.0028984818496644513,-0.005251145785261912,-0.0031935541131894174
TZA,ssp126,gfdl-esm4,-0.004327920671535225,-0.003877376815318181,-0.0016219879405898704,-0.001266698061608989,-0.0005523419891435023,-0.0007773579447374243,-0.0005727323812097545,-0.00039934044524942667,-0.00017885126030145674,-0.00025054818183348036,-0.00014396465158824533
UKR,ssp126,gfdl-esm4,-0.44735734515662556,-0.12321090553289109,-0.16260264759288282,-0.0285459365339722,-0.0430319797277418,-0.06662542919484071,-0.009765029811366954,-0.033852644362980924,-0.06221947516312198,0.0242609062487786,-0.061163774336606136
URY,ssp126,gfdl-esm4,-0.004165669589831506,-0.0003464173591292915,-0.014956700267366606,-0.03129847820398196,-0.027440715349840855,-0.013349418443260718,-0.006277228395447326,0.0008846847298994977,-0.002571642491175254,3.662977121871612e-05,0.002175782599803966
USA,ssp126,gfdl-esm4,-0.0027046824594248826,-0.007961752223953794,-0.0003315083519659059,-0.00480809518209823,-0.0023426828727732595,-0.0017433587143158515,-0.005049409123000933,-0.002707722333410741,-0.0004166774987857012,-0.0018659076779749895,-0.0016606529291700745
YEM,ssp126,gfdl-esm4,-0.013945176217171522,0.0006159253989038958,-0.000999837483941278,0.0008128819833539771,-0.0007945863929771638,-0.0009668937806971473,0.0006254783309840486,-0.0009691410792896599,-0.0007785494953509557,-0.0006183105718211768,-0.0002898637837971072
ZAF,ssp126,gfdl-esm4,-0.009574535574955082,-0.0013317664990211936,0.0020146243372651976,-0.0060899636135244295,-0.002239755593679912,-0.0003908864032968273,-0.000594971373728373,-0.0028292745416450297,-0.0013176005882291786,4.877071732594496e-05,-0.0033622916102294216
ZWE,ssp126,gfdl-esm4,-0.009303500080527634,-0.08471698855392487,-0.022346357295183927,-0.013927122081406389,0.0017905293020069285,-0.010392603638196017,-0.011933684260727573,-0.00267670839065693,-0.005508112046729236,0.0007883576819029101,-0.006606938364003823
ALB,ssp126,ipsl-cm6a-lr,0.005527032095070009,-0.02282758481926087,0.004777036204557832,-0.08364311385952816,-0.04416316952598038,-0.05839760644121739,-0.06688351396294204,-0.05581396910860743,-0.0460762829110937,-0.047016953417124696,-0.016555376008993924
ARG,ssp126,ipsl-cm6a-lr,-0.0008014855238713789,-0.0023387791541924128,-0.0010414353512786757,-0.0007931421747973341,-0.0008597691872567683,-0.0007521964885245191,-0.0009317968886709958,-0.00018192540905147264,-0.000262262001910831,-0.00037320358131711533,-0.00012013230293939199
ARM,ssp126,ipsl-cm6a-lr,-0.029882850818817103,-0.016862528539495974,0.001192160491615106,-0.04446733120203048,-0.015054778760959474,-0.012802064033128087,-0.017676662373577467,0.005571295800716362,-0.011444908985164466,-0.02874884649553791,-0.007486845479191056
AUS,ssp126,ipsl-cm6a-lr,-0.0064511074328658,-0.017914090232256485,-0.014094063248961024,-0.025030066313329227,-0.0012998464508558114,-0.02788675620255882,-0.035374724624210006,-0.012334565550294345,-0.016984299819257184,-0.027428304236755192,-0.026973673122255612
AUT,ssp126,ipsl-cm6a-lr,-0.002410528105849745,0.0036798314785298713,0.0005647605255738853,-0.007305337949647031,-0.0017178180467855208,-0.004573538315968197,-0.007273704409091132,-0.006342516642135679,-0.004009143209918439,0.0009781842330158373,-0.0030100466125488746
AZE,ssp126,ipsl-cm6a-lr,-0.08430050918905972,-0.04138730894017979,-0.00638045111710027,-0.11116833146194832,-0.03833873780974683,-0.03532421709991003,-0.06370027241176678,0.01267069036921364,-0.03671898072746463,-0.06530673713809967,-0.018917732794604913
BDI,ssp126,ipsl-cm6a-lr,-0.006555176142103021,-0.006392383593363353,-0.0067471348297822665,-0.0008076697902536317,-0.001242885525540668,-0.0011369262921370922,-0.0003103153248006068,-0.00038679347538773175,-9.582841316061335e-05,-0.0001683149706254002,-0.00022789947454568277
BEL,ssp126,ipsl-cm6a-lr,-0.00015659529598766232,0.004215798455507489,-0.0028371407186531254,-0.0043618779062451615,0.0022374737625851997,-0.004077900769532956,-0.005355619053156732,-0.004331511062150619,-0.0032640691872200425,0.0011095905257433652,-0.0033263923349129325
