country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
BIH,ssp126,gfdl-esm4,-7056896.237234434,-3210163.213290691,-4070176.9577909145,-5227608.405518755,-7896183.500051988,-10477266.89112195,-3118610.786989717,2429912.504475186,-3856587.719756734,-2944052.7098357906,-12321518.202879492,-4975943.849067018,-5548563.394030404,-2642837.3475222816,-3372366.963720776,-6803392.867300078,-2480766.76500527,-1613254.0658077,-888460.0021715155,-2603831.6035127975,-6466085.2059372505,-3183065.596679579,-4752427.398950742,-7671097.643641122,-3785272.5064641205,-2697378.692208262,902083.7535053082,-8819376.607972376,-2444631.452197358,-3939773.68462664,2479901.8256955976,2835189.831161188,-5980357.295138048,-5636552.661567602,-2519884.6704104096,-5838982.049055841,161392.85372007513,-7329855.067654224,-1266374.1573698164,-7784878.0166325215,-3156306.51432208,-7183129.621129527,-4461176.072460347,-10550460.839262443,-5067656.20229847,173484.04673374846,-4617447.367072539,-4183716.027516695,-10861278.222450668,-12282992.01362731,-7385739.795483566
BLR,ssp126,gfdl-esm4,-24015773.475224532,-6822398.9578954,-20819487.78011206,-15277374.566261174,-16860047.964523185,-15653217.284621801,-2947880.2390329572,3777061.1351181697,1565259.2922215317,-3624535.5491580456,-4905297.072542943,-979108.7575574168,-11156508.156683592,-16874811.69738766,-13833825.502383513,-7485831.991359581,7372740.41040754,-15511899.482417908,-18452153.044083226,-2180979.923329491,-10955313.647199903,-21708792.31473731,-7348464.618350215,-9702040.917299263,-12901172.822993498,-13034030.881247288,-20907389.06535352,-19612571.26505786,-10050335.058520522,-55522250.97630675,-9545834.148143418,4151809.111410698,-30895588.2991005,-7547786.170875995,9756072.935999196,-12935758.361666668,-12634634.418107914,398901.86285188363,-5770323.693192887,-24649066.7303199,-13329721.182941485,-5230725.154918036,-2556207.412396389,-5386299.464992298,-7628548.360173202,-1403918.9557188998,-22448784.36868632,-8407513.38846555,-9526372.234610673,-11270336.063750116,-19671808.03181361
BOL,ssp126,gfdl-esm4,-2720728.861612583,-11464372.73559958,-2545263.3409739044,2351194.0230969414,-9224390.32771557,-161846.62485637947,-14052284.508891042,-305807.9796972774,-661141.4496014309,-7522372.759413225,-4049684.832283752,-11417044.78786015,-13577575.436800404,-5007231.171137846,-20101983.52590157,-13968216.433320431,-1686226.345636366,-11918601.096511178,-8912386.493830733,-2362469.4638837203,984829.5503476587,-4729617.497561741,-4826102.4954772405,-10051731.635504274,-3134427.1862449017,-5818791.852394742,-19774952.83884068,-9232413.997794945,-6047833.7995895045,-14410149.313295985,-15227275.4537611,-11756265.968259085,-14307438.558880512,-5534177.129834849,-11798776.491304323,-12423961.3241378,-15734968.443352414,-12407296.443132978,-1107967.8828858084,-12900356.02374901,-11413263.583614144,-17643284.040868256,-18403913.766311474,-10541155.644194111,-6724432.568059531,-1394967.471277725,-16281999.668875564,-13895046.54424467,-6245632.469216089,-11736972.68930761,-6384051.362288428
BRA,ssp126,gfdl-esm4,-60619519.460106134,-5292741.92507119,-73497173.65121238,66673743.64633437,-167194897.0142816,15582965.476450766,-112746319.69693722,-44106353.14485777,-45747520.02524132,-81507578.857733,-40715787.440860696,-104980816.16661523,-204868234.35108283,-74241562.00758144,-130505082.67223649,-199678058.56036076,-161106029.89469534,-16491370.24601146,-120019894.88148087,-116296689.40521884,-66965235.93812152,-107090545.60105558,-75637534.61740778,-41173678.75666923,-48886728.49115437,-123856200.53498681,-158524777.93579978,-60720330.440660715,-179015100.52398032,-90268620.49061264,-149353929.77385455,-185131871.60801446,-191297365.998481,-120822059.14936997,-145708777.52805293,-92083268.75508012,-191255118.93694186,-72148337.6724357,-166945915.8082071,-180218529.1703214,-60260497.02832013,-152549295.15826133,-196455165.0432289,-86716739.13269733,-140275161.84407872,-33767842.65577109,-152573986.44222948,-39567185.51668365,-93052844.0329804,-23737639.341614828,-16545661.031104576
BTN,ssp126,gfdl-esm4,-55513.219749469405,-26950.708455595537,-20557.612664260218,-12600.632400183074,3641.73494692455,12985.676956364156,-19582.95290857609,-7977.984590255329,-12060.823788709053,22175.037913726606,-11088.954929623584,-4718.667146669062,-7298.103397464073,-23900.29758940997,-21230.7468204071,-18595.08504018407,-15626.895295027858,-16056.23903905002,-9100.15092750811,-12715.130421175416,3240.310094013822,-10752.34399776894,-5853.766758915201,-8034.721821670902,-3627.1219225555237,-16693.75441818306,4554.294258799326,-4138.00200923004,-8057.877069917115,-10880.287698963208,-2655.742774806261,-3331.629816690589,-8839.235880261489,642.436926620699,-4656.856373956795,-4387.518235194578,-5292.949113090982,-20246.58349476299,2220.5334381579396,-7124.590167797924,-5732.305269696244,-7634.1048381565415,-10490.306016197113,-1620.1845550500263,-11847.85312401636,-7915.246362520412,-7719.393430154183,-23269.948525879045,-23089.045784245252,-16896.49777123869,-9318.367191309002
CAN,ssp126,gfdl-esm4,-552538793.6847327,193582495.44984344,-481302986.7080366,-607956096.9142531,255295948.27617574,-200425789.95756403,-454610271.2201402,-572997710.5404077,-618617659.4681865,-342712202.5348333,-372812767.54315746,-1092843807.7385476,-548475587.9419799,-408108069.3446417,-581952413.5513682,-1364954695.1968088,-1082833437.242692,-27578021.610321168,-950950645.8233361,102012685.43393013,62502427.266513795,-455499034.2417981,-197260643.15438303,-1049043504.8663862,-794983686.9180974,-348154409.3726322,-620628174.818196,3930469.3605476334,-166607366.38061008,-40152266.01243038,-971272210.9312258,-277985885.59844244,-733263761.5158814,-531475291.6519903,-388830699.4151474,-666947215.980722,38016654.52556941,-315206796.9641076,-436861081.3755458,-649286353.9227599,-725457455.270751,-593337425.6187947,-938425200.4825053,-306499116.9232819,-856307669.3066096,-352679595.8781406,-1267578102.7446659,-278940767.44037735,-741932849.3947327,-933718929.6639005,-783938602.4625099
CHE,ssp126,gfdl-esm4,-11363103.17693788,-6989186.456476903,-2255532.0945825125,-17886113.760349244,-40405750.91926938,-8325402.005410992,-2943162.441780537,-1082573.186587785,-8272257.295122339,-8258256.414884135,-32355598.28820615,-8479537.015059382,-12198331.899089506,-23609905.49443318,371048.67857290653,-35068175.75589239,-5954766.650175504,-9836620.944338752,16567344.937973278,-12316221.775016883,-27402385.340965595,-41279054.440508716,-24786930.583378777,-7118161.796669111,-5800766.750421873,4577492.760361177,-20176227.76689251,-19696195.029460162,-18338352.38901913,-9724092.324181283,7383095.810748894,-4270381.252718934,-6668324.003997017,-2148862.425278584,20629865.115189213,1594071.7419217252,-4953258.246972641,-34089537.76094872,-1225040.5577801156,-33722878.56399324,-13415.596852847106,-23730453.47042213,-18110731.88259434,-15394358.749792634,-21175245.028768618,-7143401.773396054,-1403190.1171438124,-29731079.458607137,-14758703.339450818,-24136413.375055254,-28424523.495747194
CHL,ssp126,gfdl-esm4,-19553703.596588813,14444865.38378357,14618493.601132922,5876555.485832276,-6555848.510265798,3910205.156067563,-269319.1000739762,-7008073.8936882755,-12745703.453662394,-5388214.073884693,-11134589.337417921,-5143481.015625071,10735207.108029768,1493966.6440442856,19582358.014939047,-6375626.182688242,-6334167.370670913,1244139.6266967834,-12685124.662447108,-5532541.600220975,436767.36872374587,-7847010.165300177,-305666.8549624757,-6021342.460743185,-10139531.424727347,-19911044.713190887,7363129.150725574,-4767461.191970027,-9751633.592868814,-5981126.777614543,-10124061.324729405,-8095262.038963394,-3105956.9632660863,-6273122.774786217,-12989249.496888658,-6766476.270156043,-2097585.0895669335,-6542441.827453799,-6484908.316692112,-11861294.255712338,-10205017.547357203,-5456168.249395042,-4445268.929658827,-5283734.433743316,-21183289.835597195,-11827463.260811582,-7559280.69429415,-9196282.136015845,-15099533.585794967,5432802.11224517,-3226263.41105064
CHN,ssp126,gfdl-esm4,-2098520337.5736427,-5572640242.291783,-2378465261.718158,-4071357143.4579854,-838232336.5494725,-962130550.3415712,-2216510168.677409,-4097413047.745148,-7058059467.282974,-2573874209.6718745,-652309602.1997441,-3739738820.9054337,-2922976796.355665,-3404315680.552838,-965771945.9772248,-2876452764.5780706,-3924558303.1826463,-3785588071.1556215,-7935536935.51373,-3293123897.6738925,-4485199405.496619,-3812283898.050324,-3494918215.174122,-5664900915.521078,-6114147380.183653,-6591953895.353388,-5926772334.620412,-4239383894.116378,-4386929248.477227,-4806711522.296493,-8299517262.895781,-6562777591.658345,-5395750405.23025,-5349746409.69642,-5367949178.089033,-7353118185.54151,-3970635326.022271,-3049578158.841816,14710456.788887003,306067738.6384496,-4575746591.828331,-4908224896.857896,-6946786093.383852,-7248178481.535692,-6751249922.201938,-4891286512.855379,-6583714500.844951,-3299362077.14761,-2747202880.3919597,-6032136632.525986,-7909710909.479
CZE,ssp126,gfdl-esm4,-86752615.75976335,-22152125.943260632,-46202108.58913698,-80930415.84984125,-155105156.7647683,-35686521.91140005,-28803990.530700367,38125238.117455475,-10026153.292144317,-61858599.86441936,-137967131.16937324,-54849070.566604435,-76491373.14742391,-95012727.18643947,-11854985.709395034,-96779205.09444454,11460996.806906678,-48528903.42467052,-35541464.252594635,25795824.564478617,-111074301.95435417,-134053288.23502676,-96002988.50246257,-53998433.87410623,-29378365.960150108,-45397541.665740065,-81205199.79926135,-80491495.04561906,-168839453.84659687,-116733834.09152909,3557838.562942998,-4830607.253214465,-102460678.83942495,-35209643.3180726,41653757.26121891,-19514661.370406367,-40265750.805342056,-80071629.11156006,2424878.172265545,-154922623.88932794,-70406564.09452604,-83870167.87421177,-65608790.74611789,-73947898.4842216,-83247127.79889022,-32539144.658896554,-106672652.32749456,-72069051.5773375,-66828232.36757212,-73212857.22367343,-138158125.82249817
