country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
CAN,ssp126,gfdl-esm4,-106230443.39713164,-91321947.8054802,-157968209.20236725,-74123172.51693837,-195345827.1179012,-270376238.1700974,-134127469.25343768,-85375070.22618762,-37210095.50317276,-220364711.87703377,-154493203.7640344,-142136089.00228488,97464427.48003717,-79716388.0282508,-221003382.05687097,3747443.2603392387,-19771608.234952364,-210600026.08453655,-179698703.5779564,-14072621.649071913,22079711.380906362,-127621829.06149328,-34825196.9200753,-169456897.74164733,-142045614.12360623,-74279835.34788229,-172470963.00914302,-56324312.81079805,-118378423.78720237,-122494442.3542847,-122184100.82327248,-219920941.78791338,-52030719.724528454,-112814655.94910517,-215471176.86423478,-266484640.7689493,-53421293.5794322,-23841675.702228893,6122139.086134392,-232277469.853185,-119920036.834226,-99610329.76801339,-14698541.561945476,-62067652.88893858,75096414.8330666,5579783.828527687,-41629903.90965915,-309300408.96460295,-130897640.96705103,-214474561.59985653,-149813313.9621206
CHN,ssp126,gfdl-esm4,-962665268.783622,-706306432.8784885,-1133453827.047782,-1553694993.701097,-794198530.4500825,-402324960.4137363,-1218655875.5685315,-1109636130.997742,-567368875.4097182,-1280245560.6599658,-845894597.7726352,-1044242869.5731292,-751565489.0765089,-792228506.2476408,-365001789.5239428,-1020569282.6503296,-1678050476.9374988,-1724583091.6553464,-2295878591.136264,-994458840.3258537,-1180666815.8432665,-1693228497.95029,-1283397692.434197,-1944876909.734497,-1255086998.940558,-2334520288.166292,-1841105021.2420537,-1179598400.6961813,-1785948364.8405037,-1963174472.6778917,-2017905773.2907548,-1758032989.6121478,-2081406016.1071794,-1654421337.1925652,-1875828686.5279956,-2770246048.5250525,-1229431407.6709285,-1051615500.5010082,-626730309.9382316,-775348226.630899,-1308541783.3643937,-1005939738.0547166,-2216504039.284783,-1622411751.46047,-1515674839.9715087,-1306796310.7942584,-1892703676.6456053,-372799441.69582874,-1466288656.0185385,-2127276793.4027154,-2244245800.719868
CMR,ssp126,gfdl-esm4,-496610.3012212718,-629593.54714702,-466729.5044025368,-265707.7068625531,-445234.20398928405,-316552.20569698804,-648019.9376444315,-105144.93241836283,-474335.4632181386,-381904.35223972285,-633010.0234101283,-665110.8467006313,-175684.32470705063,-599065.8153847917,-273695.7676946528,-386802.0163152185,-456693.2762453733,-578587.4106802954,-873929.6896699221,-986196.0263814472,-805438.0223151227,-625881.8176561227,-695356.0158892843,-1604800.0733883674,-1242295.2560028222,-846373.8813090714,-726947.6735562594,-1045720.253900388,-1205927.8787797936,-1158539.3299043914,-690660.9639716785,-878711.5594760878,-906909.3893317032,-1260483.6573565684,-1148230.4380287623,-1076772.0260381033,-701409.8398746443,-964949.9817296456,-587899.2126419031,-947716.3019320167,-958379.2716815965,-1081761.7249870687,-1050354.4173117317,-1203692.1433921796,-1338678.7594474563,-1081233.1757881674,-941196.0415416369,-772034.9163024048,-1130737.6625976656,-1100575.287994384,-1125294.3192250137
COL,ssp126,gfdl-esm4,-8544195.52591644,-4172077.615798824,-1148608.106357778,2445807.269679281,593627.8667893545,-4819039.846193787,-285581.201994757,-3819062.6445040596,-3936343.6628749096,-8272718.0612172,-6540107.582468464,-5699979.187067653,-1765918.228765017,-6984233.765974122,-3193161.7909538955,-650301.5111719389,-8716630.164774207,-6813512.743513842,-5740677.709793532,-2017990.4029721506,-2424870.3726157774,-10856835.19174037,-9724035.073505895,-5079569.288194324,-4735650.074020031,-6379652.2668861365,-6822454.879402072,-6325678.486731891,-5005711.197282985,-8330775.787531649,-5129687.71420025,-8417072.816432074,-6017402.802155641,-3982849.830202601,-7641136.915934949,-11740923.911752006,-8423444.561985558,-3928328.836024399,-3750016.112024528,-8818492.014683213,-13895028.733873362,-8107898.659224013,-5343409.433402857,-3163691.597988665,-3930398.182344982,-4949152.587587134,-7851921.8614929505,-10106986.369702516,-9875628.666020935,-8144101.700723297,-4384713.665995426
ECU,ssp126,gfdl-esm4,-2685128.3943633437,-2362067.3350706967,-740439.8017461217,-453899.8140735702,-85931.0151785913,-2090655.024799388,-3791402.531232189,-936476.8389099385,-1810657.0640044257,-3310558.2068262324,-3103268.352863648,-3523641.3916924847,-1475354.7028261046,-2601205.8693541894,-2720253.8242010474,-573297.1342081667,-3221967.839263068,-3535581.5686065843,-1510623.520428107,-1528288.6464059902,-2026257.1003414523,-2831567.5367451576,-3943377.5717935967,-3789931.0547567233,-2278439.784553252,-3527682.234845014,-4428576.168203337,-3787643.467718633,-3683933.016667961,-3660218.1637091585,-2723569.908720082,-2816297.8599662245,-2913653.694359629,-1460914.0404470963,-3865709.5141357207,-4789650.952667038,-4123114.4503615107,-2038677.371701876,-1129033.4253595069,-1324338.9378388966,-4087015.353631655,-5210563.588559703,-3215970.609301968,-3018188.3941587848,-2259229.628877566,-2961759.484705025,-4685731.144481535,-2655464.9100129586,-2927189.8079323643,-3362842.858446045,-4397122.880301738
FRA,ssp126,gfdl-esm4,10454570.863927541,-8361457.976825206,-520528.82120638323,-14466587.28473224,-9467487.879543113,-16216000.273232477,-7358372.8512927545,-20275631.768624697,-7987663.500974887,-22870597.84630582,-32621377.965373885,-9767508.599853078,-2696264.3160666754,2497058.087752053,4095026.6599854375,-31771464.176870525,-47327547.511807814,-9341649.530198606,-6124875.443230388,-32534694.6508294,-49667789.9300549,-53487511.61105068,-14546326.635538664,-19115666.433855727,-24946692.5833628,-2773716.8298727493,-9242085.503194582,-12198219.133503644,-8821902.33006247,-14259456.46804878,8440841.153364904,3781852.1487583444,-7361402.291194441,-15586438.172735995,-9527004.197799932,-13253365.549680585,-14348570.935824355,-19877556.211347234,-14163031.096939042,-4382111.900621902,-10100101.827118658,-22169136.41222048,-22649573.96755685,-38346206.37557016,-30303311.294859383,-6100929.880989581,-8276949.599316601,-38180279.992609106,-21614343.8957152,-45857413.12863884,-39144069.67262569
HRV,ssp126,gfdl-esm4,6201677.59736709,-3360386.612004578,-1924801.5822322979,936696.8703453211,-56825579.62831724,-92880947.24891192,32865445.85008425,-2448147.890255033,11052416.95844705,15900897.557244228,-78768111.99316123,4371695.47153015,-910613.246166554,-46883510.01455864,30317140.583345953,-105574022.789661,-37367034.68135631,8551280.120287223,28171164.094826568,-12470281.628376672,-28925607.315886676,-22191631.46665533,-64421247.2583858,-59468895.70365584,2273857.012012612,4539302.423267039,11290219.86732975,-80220744.36987866,-13512918.188286828,23553226.626073334,58909934.950182736,85163622.13228004,43994193.3591632,-59211833.58939755,2091832.877836861,-5023752.329871741,9607780.82404957,72629.85247457141,20072804.69645307,-210107.43744622867,32735709.960091386,-70565563.7480477,-67429277.25023414,-54217104.701382995,-36053665.72467276,27438437.08317443,36973632.65081826,-54598760.244885676,-108551554.9030341,-127286123.48334596,-115293995.00481747
HUN,ssp126,gfdl-esm4,2504758.284398926,-5408511.161997274,-2454314.2671988523,-813236.1537575017,-5796165.383286002,-10623327.845542531,1373835.3755381298,-488162.12886719994,776505.3531155362,1273499.2878134174,-8877739.436954875,-517492.9265971633,-580283.6473397705,-5680782.349101221,1541728.6146509536,-9528492.584754758,-4156175.75493198,317732.7768835822,1189664.6674867948,-2450904.1541823926,-6114012.380459849,-3697781.0474554054,-8616921.085536439,-5823651.057503648,265193.8807209215,49599.847037058375,-170291.58725041593,-9779989.05935188,-2661277.6020783023,-585760.8720569063,4168875.3104089354,5835555.270000523,2383976.134741951,-6473091.419750611,-2060665.7770771934,-1847894.1264830197,660387.7502193935,-1123422.894832655,1375647.577376838,-2541631.3297658334,1451080.8911055645,-8549322.553707767,-8935025.94385032,-6168605.42459156,-5785707.43646234,2327776.957301081,544368.1707317918,-5591571.127279593,-12739374.883025162,-14260010.35236309,-12296263.822363574
IDN,ssp126,gfdl-esm4,-14451716.059541104,-18939426.883538082,-2851650.550015524,986030.0680822277,1911889.753798309,-13996115.573745737,-16932654.53037781,-794919.6256925041,-11924638.856565038,-18658109.729363583,-26049057.859135482,-24838390.636821758,-15176593.115672737,-10237982.148980739,-38950597.61026075,-9840937.943431227,-20141651.290405244,-45635090.46110417,-18628068.139721055,-7423373.03129857,-11216059.995075163,-20734653.6221977,-30054350.901562966,-22250229.829116147,-7225196.368501272,-11522322.118741062,-40324797.648036435,-20485952.99811296,-11775840.108560216,-28158455.878979027,-25961167.70063614,-21598625.685695045,-27995440.87730918,-10014559.184739145,-15566449.464594813,-27070204.225741845,-34441455.48509282,-32754834.607147865,-13867982.942817222,-17700881.262436494,-24232706.993023705,-36327423.240477465,-35920318.72515797,-15104388.10640093,-11731389.856408967,-24896261.040766966,-24950776.60440594,-25406481.528900858,-27646467.891285304,-27747971.059302814,-32457670.475447007
IND,ssp126,gfdl-esm4,-576531392.6710098,-687883874.0028379,712905097.2183656,446018047.7633881,239992097.541788,-391336952.3664246,627434438.3940079,388385424.737051,-42365892.259909436,181168360.52879983,-625467685.675929,103476239.32451211,854750900.6484444,-1108267944.3220937,-64932272.51576656,74208094.28376542,-720549100.9627577,-977960730.2609358,123816091.70380434,-380355072.15802956,-377384368.73401195,-329535729.7999278,-292355922.68526953,127855569.84970614,-28766186.89523815,-935464062.8236723,27899896.80000376,-117051047.31614903,-438370846.2801489,-711364771.0494447,-276501622.62119955,-822373042.9319068,-155990012.4479711,-25220965.45702496,-626443025.4080213,-510563763.92239976,-617977606.1882191,29951734.105721984,336032109.80909777,-378542883.6034004,-630897145.5146389,-915597993.861382,-132774695.02878693,928130680.4786408,70223584.58684172,-382141200.4801066,-142600536.4679884,93642648.13583481,-59118333.676902354,-505342430.31067455,388374212.92022324
