country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
CMR,ssp126,gfdl-esm4,-0.001840930812523393,-0.0012298976508374382,-0.0011304105298472597,-0.00048351926852992005,-0.0007127437436063306,-0.0005088833745696184,-0.00034664747805392837,-0.00040075590358567843,-0.0002921357675887253,-0.0002615410586818085,-0.00024116994029079375,-0.0001839885734776963,-0.00018452332307109822,-0.00012677946338613197,-8.399515252790475e-05,-0.00012723196571331612,-9.467526440268217e-05
COL,ssp126,gfdl-esm4,-0.002886583170602648,-0.0017470236725735141,-0.0014696288628413927,-0.00011953794421903088,-0.00044740447180529046,-0.0010219613809761853,-0.0006754818241514768,-0.0013448012805969123,-0.0013134439899184845,-0.000447833812652938,-0.0003691578434030204,-0.00020752198346352208,-0.00047016723300213057,-0.00038628122182859123,-0.00017741259705745055,-8.18935930328836e-05,-0.0004636385092637299
ECU,ssp126,gfdl-esm4,-0.003471860055543099,-0.0018756400777474496,-0.002498650992065209,-0.0002908770863553311,-0.0009731547510002169,-0.001494839008409015,-0.0006448115356806723,-0.0013660058728233316,-0.0008468800955187573,-0.0005640906468978354,-0.0006674457666947848,-0.0004768781395070405,-0.0006148573514078253,-0.0002318404333322793,-0.0003761021647817982,-0.00016882335531255254,-0.0002854580015231246
FRA,ssp126,gfdl-esm4,0.00036474355020476093,-0.0009364200399897286,-0.0014479686893074486,-0.001035997415258943,-0.0016341175063033255,-4.3871083634829e-05,0.00011307659085340116,-0.0003090026121412249,-0.0001885738687275084,-0.0002250367463936662,-0.0008956839332389139,-0.0005222921958603361,-0.0004171484179298543,-0.0005312332335580595,-0.00012861378253532457,-2.5007565244971163e-05,-8.559459365856345e-05
HRV,ssp126,gfdl-esm4,0.00028740506671277226,-0.16791365437363048,-0.13589864716439348,-0.14802176318717547,-0.0530376164051883,-0.00507744978729687,0.04497800447770159,-0.027067176708929948,0.025881856362684745,0.019238223757202435,-0.13033238307143985,-0.021815684122838932,0.003345428740382999,-0.1281050300503106,-0.017213408156426087,-0.0009413986503995791,0.04665254358154667
HUN,ssp126,gfdl-esm4,-0.0008524617706415251,-0.0074451306496252125,-0.005564347454202096,-0.005341357012715882,-0.0037261267094960827,-0.00035028341157225057,0.0012569964150078903,-0.0017123535219477938,0.00018869989926401825,0.00046980025182501465,-0.005148091384110515,-0.0011502748323692668,3.7817216752410603e-05,-0.004116025606906706,-0.000465189290615957,6.306160804202183e-05,0.0014676321747152958
IDN,ssp126,gfdl-esm4,-0.0012146610288971162,-0.0010008450046391972,-0.0020090010637599885,-0.00050528457704428,-0.00038565921179276524,-0.0003348440029098637,-0.0009051571394267842,-0.0007694726133028844,-0.0004278572443010994,-0.000450019108474071,-0.0005884951962588329,-0.00039754046054263896,-0.0003457994318124908,-0.0001209506589928517,-0.0002075123095963004,-0.0002520717402156752,-0.00034551206830514585
IND,ssp126,gfdl-esm4,-0.027244557616628515,-0.015716014173968527,-0.01577056177612345,0.0002184183734910164,-0.005552783108107785,-0.00997811105949626,-0.0025971782287267406,-0.0038884953691588607,-0.0044974546717731455,-0.002430616458635752,0.00027947197037141207,0.0005966230792601671,-0.0010032901132785072,-0.00030616372877265033,-0.0026289416632034024,-0.0009592648610455962,-0.0012231662520915212
IRN,ssp126,gfdl-esm4,-0.0012792501260688923,-0.0005706528482506376,-0.00010584477382844602,-0.0004812732630392617,-0.000297872778049863,-0.0001441609621259425,-0.00038214527531986534,-0.00027358763710774546,-0.0001298968148930022,-0.00037195139684640955,-0.0002733246057056532,-0.00020370571025849326,-0.00014128875846011385,-0.00013593917918616725,-0.00012526023811137432,-0.00012112849922683829,-0.00014842350546562683
ITA,ssp126,gfdl-esm4,0.0012101904524364731,-0.0032781088265161425,-0.0027365849634425946,-0.003352282463798467,-6.99771718985039e-05,0.0002091995240661871,0.0003945122553970094,-4.8402500336912216e-05,0.00033986944968634434,-0.000389776017636555,-0.0019506717648724477,-0.0010483223853962878,-0.0012301987778837156,-0.0010726118471527197,-0.0005356835499086988,-1.8965920243903265e-05,0.0003673109962399151
JPN,ssp126,gfdl-esm4,-0.0005623427203445493,-0.0003401277009551529,-0.00047183147525627447,-0.00020869856704257606,-0.0002588893541767298,-0.00024798099574486083,-0.0004475122330974481,-0.0003995424851408857,-0.00047217521490596696,-0.00047468518192964726,-0.00027041132895659083,-0.0006172986087788284,-2.6475939302425967e-05,-0.0005629499082613658,-0.0002053187509852048,-0.0002061970212139682,-0.00043747948608024924
KAZ,ssp126,gfdl-esm4,0.001312914430773437,-0.0002442503015342067,-0.0021968670325216394,5.877129974449967e-05,-0.0011632469225448775,-0.00038050006196040375,6.881339682678845e-05,0.0011833385760040384,-0.00041725870748681603,-0.0002513817851854744,0.00023925751541308213,0.00027233292763683835,-0.0004892912377585396,0.0005474780408697984,-0.00031664700642110375,0.00037399530163035666,-0.0007215342706149631
KHM,ssp126,gfdl-esm4,-0.02774032764472972,-0.008143095656556743,-0.014174752255208966,-0.0013728820715866626,-0.010336004960131514,-0.00755925597336993,-0.0039273992676955635,-0.004808797808199839,-0.004525784469302426,-0.0017647139844165448,-0.0012205530944917715,-0.0017014542579835664,-0.0022519200854382504,-0.000620918392246776,-0.001309207810211111,-0.0015777049139648264,-0.0008357359074354377
KOR,ssp126,gfdl-esm4,-0.0020599618563959285,-0.001151263225976004,-0.002422898987881049,-0.003133851663752972,-0.0014406131904540534,-0.0017002750594629146,-0.0011990053128714592,-0.0023636030670305666,-0.002094033815407521,-0.001853412594124088,-0.0016967071536832371,-0.001778183087148274,-0.0009218018045206875,-0.0014302251164063503,-0.0016087634771586813,-0.0014005133954559214,-0.0020679675279835796
