country,date,tmax,tmax2,tmax3
MEX,2001,307.6373992390165,94666.2544475265,29138465.669278443
MEX,2002,307.5994604663571,94642.48359985005,29127287.395058814
MEX,2003,307.47244713589447,94562.59067610472,29089600.998068076
MEX,2004,307.22653634536545,94411.46308687808,29019938.107485246
MEX,2005,307.3348722249336,94477.72232482122,29050349.661710195
MEX,2006,307.4029876639925,94519.20592204621,29069300.279292442
MEX,2007,307.44894683253113,94548.90122446386,29083673.390245993
MEX,2008,306.9320164509148,94231.7378304551,28937671.251350686
MEX,2009,307.921436974615,94840.13618877414,29218314.175365236
MEX,2010,307.6315232234435,94664.9603117516,29138920.76626223
MEX,2011,308.41348857113127,95147.42187240341,29362202.53249772
MEX,2012,308.0905660400074,94945.91228196144,29267923.154753152
MEX,2013,307.7182156894816,94716.10052293676,29161533.610005844
MEX,2014,307.9054129003762,94830.85870596585,29214295.602479555
MEX,2015,308.12650672463405,94970.22081109181,29280155.196179405
MEX,2016,307.7203746171905,94715.04653807319,29159959.48536469
MEX,2017,307.97979817423817,94873.09314691322,29232168.069127403
MEX,2018,307.9322227150426,94849.13625999862,29223560.560762975
MEX,2019,307.9384924887039,94852.46216187003,29224844.58976191
MKD,1971,295.02966599705945,87072.76080312592,25706834.76336027
MKD,1972,295.63019991403394,87425.12239509748,25861965.44003346
MKD,1973,294.22351664910894,86600.99680678459,25499689.77094029
MKD,1974,293.035540735285,85911.30649257364,25199434.905035805
MKD,1975,294.7590344165252,86913.31945454337,25636400.16639716
MKD,1976,293.0717886569262,85913.55649185556,25192028.718931694
MKD,1977,295.3618782282116,87278.89931031702,25802506.84013345
MKD,1978,294.3315003308021,86671.21600672738,25533689.86638572
MKD,1979,294.7607187555203,86921.77290781574,25643384.525678758
MKD,1980,292.7208375461625,85730.24495800651,25121242.96955168
MKD,1981,294.4606120323579,86740.850663782,25561627.99843525
MKD,1982,294.42130775593114,86727.74036705692,25560181.1101588
MKD,1983,295.14922649431037,87145.08483796986,25739617.695342716
MKD,1984,293.4470854398146,86150.15229493951,25303393.533423036
MKD,1985,295.08618245198414,87109.52056535851,25724666.616043303
MKD,1986,295.06445501885577,87086.40381543848,25709818.058780365
MKD,1987,294.3703758767528,86697.38534928166,25546805.8911489
MKD,1988,295.25828673446455,87220.86583454939,25778242.84210149
MKD,1989,294.1886967111481,86575.71858009537,25486493.895011157
MKD,1990,294.80443843799634,86947.71608635825,25654971.209974606
MKD,1991,293.40533263254116,86130.50039087638,25296886.96444326
MKD,1992,294.24704045473686,86611.99129252034,25503253.07806333
MKD,1993,295.2294964042255,87195.03530010408,25762956.152006123
MKD,1994,295.59732194152247,87422.36626439713,25868113.618543036
MKD,1995,294.87547026476517,86992.85133683136,25676255.692694053
MKD,1996,295.1915572440224,87178.48336200941,25758048.84788279
MKD,1997,294.10249121281095,86551.10236707925,25486924.923491407
MKD,1998,295.44853938881454,87328.86667231533,25824252.89123069
MKD,1999,295.6728097134895,87453.4324487909,25875891.41317382
MKD,2000,296.7271074409343,88081.62233190845,26156746.18304864
MKD,2001,295.2555991886632,87217.90120160334,25776305.933963355
MKD,2002,295.50152244967467,87365.93650064926,25843137.80780224
MKD,2003,296.08495217669986,87718.48118982208,26002642.64671648
MKD,2004,294.3639778666927,86688.36006510533,25540476.826142177
MKD,2005,294.78125366161606,86929.91239825937,25645289.94111677
MKD,2006,295.2086217819751,87192.99904568514,25766607.915845413
MKD,2007,296.89581926540546,88188.43096439626,26207307.598974355
MKD,2008,295.63367941775414,87441.82789432819,25875885.748789214
MKD,2009,295.946607666383,87619.59426423286,25951538.394275006
MKD,2010,295.20949474825323,87188.18612982582,25762136.82549501
